time,open,high,low,close,SMA 50,SMA 100,SMA 200,Volume,Volume MA,Plot,Plot,Plot,Histogram,MACD,Signal
1687053600,26488.65,26541.24,26464.59,26539.82,25838.545399999977,25875.568599999977,26297.704150000005,287.3886433,1527.0594093640061,26490.034444444544,26321.947142857116,NaN,-15.563943371325138,213.22515971840767,228.7891030897328
1687060800,26540.23,26641.97,26497.43,26542.15,25848.599199999975,25876.192499999972,26295.916300000004,629.42048708,1489.2448884245061,26494.58777777788,26373.548095238068,NaN,-18.54897938146547,205.60287886290098,224.15185824436645
1687068000,26540.85,26669.14,26478.3,26584.42,25860.59799999998,25877.15439999997,26294.345850000005,614.43790297,1302.978320803506,26498.63222222232,26426.322380952355,NaN,-18.793551028172487,200.65991945915084,219.45347048732333
1687075200,26585.66,26597.25,26458.07,26526.22,25874.144999999975,25878.38509999997,26292.152500000004,416.30384863,1033.369880552506,26511.826666666762,26460.49380952378,NaN,-23.67655823305921,189.8577726959993,213.5343309290585
1687082400,26526.2,26532.64,26479.82,26503.93,25886.17559999998,25880.12969999997,26290.33075,374.14137443,826.6381187425059,26521.150000000096,26470.07761904759,NaN,-28.86521570474156,177.45281129813156,206.31802700287312
1687089600,26503.95,26571.09,26459.52,26494.46,25896.365999999984,25889.78569999997,26288.297350000004,625.9037246,774.5673543975059,26523.584444444543,26475.793809523784,NaN,-33.08951872813759,164.95612859270113,198.04564732083873
1687096800,26494.45,26570.27,26462.72,26558.59,25907.96099999998,25898.710399999967,26286.962500000005,464.05756222,752.8942041935059,26528.145555555657,26488.458095238067,NaN,-31.715540357698785,158.40122187371526,190.11676223141404
1687104000,26558.59,26657.85,26529.21,26633.13,25920.822199999984,25908.32309999997,26286.062750000005,1060.8695861,759.7207930020058,26541.26111111121,26502.59999999997,NaN,-26.168065870699365,157.40667989303984,183.5747457637392
1687111200,26633.63,26655.79,26584.42,26653.08,25934.16199999998,25917.346699999965,26284.275950000007,496.12454762,753.3483454565059,26559.53333333343,26524.490952380926,NaN,-21.71969660369669,156.42512500911835,178.14482161281504
1687118400,26653.49,26698.03,26359.97,26412.2,25942.17779999998,25924.67799999997,26280.539950000006,1467.85713124,735.1554144725058,26545.353333333434,26532.08285714283,NaN,-34.789473734501655,134.65797944468795,169.4474531791896
1687125600,26416.16,26460.69,26260.37,26342.29,25951.56619999998,25931.62729999997,26276.963900000006,1201.21072744,735.5479515990058,26523.146666666766,26516.07285714283,NaN,-47.16394809984507,110.49251805438325,157.65646615422833
1687132800,26341.04,26450.94,26266.18,26442.89,25977.92579999997,25935.733499999973,26273.753200000003,602.80171972,736.7363371230059,26507.421111111213,26509.17285714283,26507.421111111213,-47.46488373241405,98.32536148871077,145.79024522112482
1687140000,26442.38,26471.03,26385.56,26399.92,26003.322999999975,25942.08379999997,26270.070250000004,539.42111133,726.959104565006,26493.387777777876,26500.170952380922,NaN,-49.23670357058376,84.24436575789514,133.4810693284789
1687147200,26400.77,26470.64,26371.44,26467.1,26031.318599999977,25948.903899999972,26267.813950000003,335.41098632,690.078760307506,26489.295555555655,26498.548571428546,NaN,-44.695827332832366,77.61128516243843,122.3071124952708
1687154400,26467.19,26476.29,26389.56,26430.52,26058.760199999975,25954.62129999997,26264.4529,603.35340825,659.9435589160059,26482.19111111121,26492.953333333306,NaN,-42.95616569395756,68.61190537782386,111.56807107178142
1687161600,26429.27,26456.4,26370.85,26394.59,26086.729999999978,25960.08009999997,26261.106500000005,704.47623753,644.957729616506,26463.96888888899,26492.339999999975,NaN,-42.924059762641875,57.91299636847907,100.83705613112095
